Model,Release Date,Release Year,Model ID,Cluster ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Dell Axim X3 Basic,01-09-03,2003.666667,316,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.192905866,0.278688525,0.057087877,0.008393465,0.009267241,0.416961131
Dell Axim X3i,01-09-03,2003.666667,317,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.192905866,0.300819672,0.057087877,0.019570477,0.016034483,0.17617365
E-TEN InfoTouch P300,01-09-03,2003.666667,318,0,0.031220435,0.000523305,0.101090097,0.079136691,0.056910569,0.142857143,0.165075034,0.278688525,0.108402822,0.029163009,0.02262931,0.244068652
Handspring Treo 600 CDMA,01-09-03,2003.666667,319,0,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268
Handspring Treo 600 GSM,01-09-03,2003.666667,320,0,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268
Hewlett-Packard iPAQ H1930 / H1935 (HTC Kiwi),01-09-03,2003.666667,321,0,0.031220435,0.000261141,0.101090097,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103,0.17617365
Hewlett-Packard iPAQ H1937 (HTC Kiwi),01-09-03,2003.666667,322,0,0.031220435,0.000261141,0.101090097,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103,0.17617365
I-Mate Pocket PC Phone Edition (HTC Himalaya),01-09-03,2003.666667,323,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
O2 XDA II (HTC Himalaya),01-09-03,2003.666667,324,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
Sony Clie PEG-NX73VE,01-09-03,2003.666667,325,0,0.00778222,0.000523305,0.099589413,0.151079137,0.154471545,0.142857143,0.178444748,0.338114754,0.100705581,0.034687279,0.036637931,0.273094397
Sony Clie PEG-UX40 / PEG-UX40U / PEG-UX40E,01-09-03,2003.666667,326,0,0.019501328,0.001047635,0.061071849,0.107913669,0.154471545,0.142857143,0.263301501,0.153688525,0.075689545,0.024709333,0.024784483,0.336193841
Sony Clie PEG-UX50 / PEG-UX50U / PEG-UX50E,01-09-03,2003.666667,327,0,0.019501328,0.001047635,0.061071849,0.107913669,0.154471545,0.142857143,0.263301501,0.153688525,0.075689545,0.024709333,0.024784483,0.336193841
Asus MyPal A620BT,01-10-03,2003.75,328,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897,0.17617365
CyberBank Triton 1880 KW,01-10-03,2003.75,329,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.450819672,0.100705581,0.044729461,0.060344828,0.17617365
Fujitsu-Siemens Pocket LOOX 610BT/WLAN,01-10-03,2003.75,330,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.403688525,0.077613855,0.035393872,0.03125,0.17617365
Hewlett-Packard iPAQ H4150 / H4155,01-10-03,2003.75,331,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.174897681,0.264754098,0.047466325,0.01374644,0.015517241,0.17617365
Hewlett-Packard iPAQ H4350 / H4355 (HTC Dextrous),01-10-03,2003.75,332,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.185811733,0.367622951,0.053880693,0.022675203,0.02262931,0.17617365
Nokia 6600 (Nokia Calimero),01-10-03,2003.75,333,0,0.00778222,0.000392223,0.051567515,0.028776978,0.030894309,0.087301587,0.14106412,0.244262295,0.11289288,0.019677537,0.014008621,0.208480565
Nokia N-Gage (Nokia Starship),01-10-03,2003.75,334,0,0.00778222,0.000261141,0.051567515,0.028776978,0.030894309,0.087301587,0.347066849,0.084836066,0.090442591,0.018435647,0.016163793,0.308430086
Psion Teklogix netBook Pro,01-10-03,2003.75,335,3,0.062471389,0.000523305,0.199635034,0.489208633,0.284552846,0.281746032,0.623465211,0.553278689,0.185375241,0.314605057,0.224137931,0.184755174
RoverPC P5+,01-10-03,2003.75,336,0,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.195088677,0.331967213,0.076330981,0.029634071,0.026939655,0.17617365
Samsung SCH-i600 / SPH-i600,01-10-03,2003.75,337,0,0.015594958,0.000523305,0.099589413,0.035971223,0.030894309,0.093253968,0.129604366,0.18442623,0.108402822,0.01554504,0.015086207,0.210499748
Sony Clie PEG-TJ35,01-10-03,2003.75,338,0,0.015594958,0.000130058,0.099589413,0.100719424,0.089430894,0.142857143,0.189631651,0.25,0.037844772,0.014517269,0.017241379,0.250630994
Toshiba e400,01-10-03,2003.75,339,0,0.031220435,0.00078547,0.149612223,0.129496403,0.056910569,0.142857143,0.190177353,0.31147541,0.037844772,0.015031154,0.016594828,0.17617365
Typhoon MyGuide 5500 XL,01-10-03,2003.75,340,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897,0.17617365
Yakumo PDA Delta 400,01-10-03,2003.75,341,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.180900409,0.29795082,0.049390635,0.016744106,0.014008621,0.176426047
Acer n10,01-11-03,2003.833333,342,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.195088677,0.331967213,0.069275176,0.02725735,0.02262931,0.17617365
Audiovox PPC-5050 (HTC Falcon),01-11-03,2003.833333,343,0,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.025,0.17617365
Dopod 696 / 696i (HTC Himalaya),01-11-03,2003.833333,344,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
E-TEN InfoTouch P610,01-11-03,2003.833333,345,0,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.200545703,0.352459016,0.078896729,0.033102799,0.032327586,0.17617365
Fujitsu-Siemens Pocket LOOX 610BT,01-11-03,2003.833333,346,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.403688525,0.077613855,0.035393872,0.029525862,0.17617365
Motorola A920,01-11-03,2003.833333,347,1,0.015594958,0.000392223,0.083582113,0.086330935,0.043902439,0.142857143,0.145975443,0.405737705,0.114175754,0.009721003,0.032758621,0.537102473
Motorola MPx200,01-11-03,2003.833333,348,0,0.015594958,0.000523305,0.065573902,0.035971223,0.030894309,0.093253968,0.113233288,0.163934426,0.134060295,0.015245273,0.0125,0.210499748
PalmOne Treo 600 CDMA,01-11-03,2003.833333,349,0,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268
PalmOne Treo 600 GSM,01-11-03,2003.833333,350,0,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268
Qtek 2060 (HTC Himalaya),01-11-03,2003.833333,351,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
RIM BlackBerry 7280,01-11-03,2003.833333,352,0,0.000946074,0.000261141,0.15561496,0.064748201,0.056910569,0.063492063,0.186903138,0.262295082,0.089159718,0.022482496,0.01637931,0.276375568
Sendo X,01-11-03,2003.833333,353,0,0.00778222,0.001047635,0.059571164,0.035971223,0.030894309,0.093253968,0.114597544,0.25204918,0.107119949,0.016722694,0.012931034,0.207723372
Toshiba e800 / e805,01-11-03,2003.833333,354,1,0.062471389,0.001047635,0.199635034,0.165467626,0.154471545,0.301587302,0.190177353,0.350819672,0.067992303,0.027235938,0.028448276,0.390711762
Asus MyPal A716,01-12-03,2003.916667,355,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.352459016,0.073765234,0.030233604,0.029525862,0.17617365
Bsquare Power Handheld,01-12-03,2003.916667,356,0,0.062471389,0.001047635,0.199635034,0.165467626,0.219512195,0.222222222,0.219645293,0.37295082,0.085952534,0.058904139,0.073275862,0.315497224
CyberBank POZ 1870,01-12-03,2003.916667,357,0,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.174624829,0.329918033,0.076330981,0.024794981,0.03125,0.17617365
Medion MDPNA 100 (MD95025),01-12-03,2003.916667,358,0,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.181446112,0.344262295,0.089159718,0.032139263,0.025862069,0.17617365
MiTAC Mio 168 Digi-Walker,01-12-03,2003.916667,359,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.065426555,0.017964585,0.01875,0.17617365
MiTAC Mio 168RS Digi-Walker,01-12-03,2003.916667,360,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.065426555,0.017964585,0.01875,0.17617365
Orange SPV E200 (HTC Voyager),01-12-03,2003.916667,361,0,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.117382938,0.02207567,0.015086207,0.216304897
RoverPC P1,01-12-03,2003.916667,362,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.046183451,0.012911376,0.0125,0.17617365
RoverPC P3+,01-12-03,2003.916667,363,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.29795082,0.041051956,0.015566452,0.0125,0.17617365
RoverPC S1,01-12-03,2003.916667,364,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.169167804,0.245901639,0.099422707,0.025094748,0.02112069,0.17617365
Siemens SX1,01-12-03,2003.916667,365,0,0.00778222,0.000392223,0.059571164,0.035971223,0.030894309,0.093253968,0.14324693,0.245901639,0.08274535,0.016722694,0.012068966,0.210499748
Abocom X-Pilot II,01-01-04,2004,366,3,0.062471389,0.000523305,0.199635034,0.625899281,0.284552846,0.281746032,0.623465211,1,0.1533034,0.301843565,0.221982759,0.129732458
Airis NC05 / NC05A,01-01-04,2004,367,0,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.173260573,0.319672131,0.089159718,0.028627711,0.018534483,0.17617365
Airis T900,01-01-04,2004,368,0,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.358253752,0.094180328,0.125721616,0.045136287,0.037068966,0.17617365
AnexTEK SP230,01-01-04,2004,369,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.169167804,0.245901639,0.099422707,0.025094748,0.02112069,0.17617365
CyberBank POZ 2470,01-01-04,2004,370,0,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.174624829,0.329918033,0.077613855,0.029655483,0.029956897,0.17617365
Dopod 535 (HTC Voyager),01-01-04,2004,371,0,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.117382938,0.02207567,0.015086207,0.216304897
Krome Navigator F1 (HTC Himalaya),01-01-04,2004,372,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
Medion MDPPC 150 (MD95459),01-01-04,2004,373,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.259016393,0.065426555,0.017814701,0.01875,0.17617365
MiTAC Mio 336 Digi-Walker,01-01-04,2004,374,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.259016393,0.046183451,0.012804317,0.0125,0.17617365
Qtek 2020 (HTC Himalaya),01-01-04,2004,375,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
Qtek 8060 (HTC Voyager),01-01-04,2004,376,0,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.117053206,0.292622951,0.113534317,0.020876603,0.015086207,0.216304897
RoverPC P7,01-01-04,2004,377,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897,0.17617365
Sony Ericsson P900 (SE Linn),01-01-04,2004,378,0,0.00778222,0.00078547,0.077579376,0.09352518,0.043902439,0.142857143,0.137789905,0.270491803,0.114175754,0.0241098,0.017241379,0.207723372
Toshiba e800w,01-01-04,2004,379,1,0.062471389,0.001047635,0.199635034,0.165467626,0.154471545,0.301587302,0.190177353,0.350819672,0.067992303,0.027235938,0.029741379,0.390711762
Typhoon MyGuide 2500,01-01-04,2004,380,0,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.336971351,0.118852459,0.076330981,0.035158341,0.021551724,0.17617365
Yakumo PDA Delta 300 GPS,01-01-04,2004,381,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.259016393,0.065426555,0.017814701,0.01875,0.17617365
Airis N509,01-02-04,2004.083333,382,0,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.065426555,0.017964585,0.01875,0.17617365
E-TEN InfoTouch P700,01-02-04,2004.083333,383,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.336065574,0.095574086,0.036507291,0.030172414,0.17617365
MiTAC Mio 8390 Digi-Walker,01-02-04,2004.083333,384,0,0.015594958,0.000523305,0.099589413,0.035971223,0.030894309,0.093253968,0.121418827,0.204918033,0.116100064,0.016722694,0.014008621,0.210499748
Sony Clie PEG-TH55 / PEG-TH55E,01-02-04,2004.083333,385,0,0.019501328,0.000523305,0.061071849,0.158273381,0.089430894,0.222222222,0.182264666,0.297131148,0.061577935,0.014517269,0.02262931,0.250630994
Sony Ericsson P908 (SE Linn),01-02-04,2004.083333,386,0,0.00778222,0.00078547,0.077579376,0.09352518,0.043902439,0.142857143,0.137789905,0.270491803,0.114175754,0.0241098,0.017241379,0.207723372
ViewSonic Pocket PC V37,01-02-04,2004.083333,387,0,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.190995907,0.301229508,0.041693393,0.015844807,0.011508621,0.17617365
NEC MobilePro 900C,01-03-04,2004.166667,388,3,0.031220435,0.001047635,0.199635034,0.460431655,0.219512195,0.103174603,0.653478854,0.323770492,0.1533034,0.192814166,0.165948276,0.100706714
Orange SPV M1000 (HTC Himalaya),01-03-04,2004.166667,389,0,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365
I-Mate Smartphone2 (HTC Voyager),01-04-04,2004.25,390,0,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.117382938,0.02207567,0.015086207,0.216304897
PalmOne Zire 31,01-04-04,2004.25,391,0,0.00778222,6.45E-05,0.099589413,0.079136691,0.024390244,0.063492063,0.184174625,0.258196721,0.063502245,0.018949532,0.012068966,0.092125189
PalmOne Zire 72,01-04-04,2004.25,392,0,0.015594958,0.000130058,0.15561496,0.09352518,0.089430894,0.142857143,0.186903138,0.278688525,0.069916613,0.022503908,0.01637931,0.26476527
